,Fuel-Economy,Innovation,Performance,Quality,Safety,Style,Value
Acura,24,38,28,20,28,33,25
Audi,9,54,54,30,19,67,8
Bentley,0,16,18,25,9,27,17
BMW,14,83,94,55,38,93,35
Buick,25,48,39,58,52,52,43
Cadillac,14,73,50,76,40,83,36
Chevrolet,114,103,202,174,140,160,145
Chrysler,38,65,96,54,54,103,72
Dodge,60,61,141,61,63,133,69
Ferrari,0,20,45,10,8,46,5
Fiat,19,21,17,20,15,7,16
Ford,167,180,169,179,161,157,188
GMC-trucks,40,40,64,57,80,50,58
Honda,163,68,73,118,104,50,135
Hyundai,97,25,31,27,35,42,82
Infiniti,5,39,31,15,10,17,16
Jaguar,0,3,18,19,3,47,12
Jeep,18,33,14,51,19,41,52
Kia,68,30,17,13,24,42,109
Lamborghini,5,19,37,8,6,23,24
Land-Rover,0,43,0,5,0,47,2
Lexus,10,62,29,50,27,64,26
Lincoln,6,37,23,31,24,40,19
Maserati,0,6,9,0,0,41,25
Mazda,46,23,34,10,12,26,38
Mercedes-Benz,8,83,44,87,58,82,42
Mini,23,12,4,4,13,12,4
Mitsubishi,20,13,33,23,7,32,13
Nissan,80,68,51,53,52,55,70
Porsche,0,17,66,14,6,42,5
Ram-trucks,9,22,21,10,18,1,16
Rolls-Royce,0,4,4,35,11,25,17
Scion,20,24,11,6,11,4,4
Smart,38,9,3,7,0,5,10
Subaru,19,14,32,33,75,20,40
Tesla,23,35,10,12,9,15,12
Toyota,238,116,95,134,113,74,150
Volkswagen,90,30,25,37,27,22,46
Volvo,9,15,16,31,180,14,11
